date,STATION,mm.100,mm.50,mm.150
12/1/90,"VISTA, CA US",7.366,,
1/1/91,"VISTA, CA US",21.59,,
2/1/91,"VISTA, CA US",97.536,,
3/1/91,"VISTA, CA US",194.818,,
4/1/91,"VISTA, CA US",0.508,,
10/1/91,"VISTA, CA US",14.224,,
11/1/91,"VISTA, CA US",2.54,,
12/1/91,"VISTA, CA US",41.148,,
1/1/92,"VISTA, CA US",71.374,,
2/1/92,"VISTA, CA US",116.586,,
3/1/92,"VISTA, CA US",108.204,,
4/1/92,"VISTA, CA US",2.032,,
10/1/92,"VISTA, CA US",11.43,,
11/1/92,"VISTA, CA US",0.508,,
12/1/92,"VISTA, CA US",73.66,,
1/1/93,"VISTA, CA US",312.166,,
2/1/93,"VISTA, CA US",129.54,,
3/1/93,"VISTA, CA US",30.988,,
4/1/93,"VISTA, CA US",0,,
10/1/93,"VISTA, CA US",2.286,,
11/1/93,"VISTA, CA US",25.908,,
12/1/93,"VISTA, CA US",22.606,,
1/1/94,"VISTA, CA US",36.322,,
2/1/94,"VISTA, CA US",75.946,,
3/1/94,"VISTA, CA US",79.248,,
4/1/94,"VISTA, CA US",24.13,,
10/1/94,"VISTA, CA US",2.286,,
11/1/94,"VISTA, CA US",20.574,,
12/1/94,"VISTA, CA US",16.002,,
1/1/95,"VISTA, CA US",236.22,,
2/1/95,"VISTA, CA US",33.02,,
3/1/95,"VISTA, CA US",213.868,,
4/1/95,"VISTA, CA US",41.656,,
10/1/95,"VISTA, CA US",0,,
11/1/95,"VISTA, CA US",0.762,,
12/1/95,"VISTA, CA US",7.366,,
1/1/96,"VISTA, CA US",40.132,,
2/1/96,"VISTA, CA US",70.612,,
3/1/96,"VISTA, CA US",48.006,,
4/1/96,"VISTA, CA US",17.018,,
10/1/96,"VISTA, CA US",23.114,,
11/1/96,"VISTA, CA US",69.85,,
12/1/96,"VISTA, CA US",41.402,,
1/1/97,"VISTA, CA US",156.972,,
2/1/97,"VISTA, CA US",17.272,,
3/1/97,"VISTA, CA US",0,,
4/1/97,"VISTA, CA US",7.112,,
10/1/97,"VISTA, CA US",0,,
11/1/97,"VISTA, CA US",55.88,,
12/1/97,"VISTA, CA US",34.798,,
10/1/98,"VISTA, CA US",3.556,,
11/1/98,"VISTA, CA US",31.242,,
12/1/98,"VISTA, CA US",17.526,,
1/1/99,"VISTA, CA US",44.196,,
2/1/99,"VISTA, CA US",21.59,,
3/1/99,"VISTA, CA US",24.892,,
4/1/99,"VISTA, CA US",35.814,,
10/1/99,"VISTA, CA US",0,,
11/1/99,"VISTA, CA US",0,,
12/1/99,"VISTA, CA US",1.778,,
1/1/00,"VISTA, CA US",16.002,,
2/1/00,"VISTA, CA US",87.376,,
3/1/00,"VISTA, CA US",23.114,,
4/1/00,"VISTA, CA US",22.86,,
10/1/00,"VISTA, CA US",31.496,,
11/1/00,"VISTA, CA US",5.08,,
12/1/00,"VISTA, CA US",1.016,,
1/1/01,"VISTA, CA US",78.994,,
2/1/01,"VISTA, CA US",121.412,,
3/1/01,"VISTA, CA US",33.782,,
4/1/01,"VISTA, CA US",38.1,,
10/1/01,"VISTA, CA US",0,,
11/1/01,"VISTA, CA US",30.988,,
12/1/01,"VISTA, CA US",28.448,,
1/1/02,"VISTA, CA US",5.842,,
2/1/02,"VISTA, CA US",4.318,,
3/1/02,"VISTA, CA US",18.542,,
4/1/02,"VISTA, CA US",14.478,,
10/1/02,"VISTA, CA US",0.508,,
11/1/02,"VISTA, CA US",49.276,,
12/1/02,"VISTA, CA US",52.578,,
1/1/03,"VISTA, CA US",1.016,,
2/1/03,"VISTA, CA US",137.668,,
3/1/03,"VISTA, CA US",48.26,,
4/1/03,"VISTA, CA US",52.07,,
10/1/03,"VISTA, CA US",0,,
11/1/03,"VISTA, CA US",18.796,,
12/1/03,"VISTA, CA US",22.098,,
1/1/04,"VISTA, CA US",0,,
2/1/04,"VISTA, CA US",99.822,,
3/1/04,"VISTA, CA US",8.636,,
4/1/04,"VISTA, CA US",14.732,,
10/1/04,"VISTA, CA US",143.002,,
11/1/04,"VISTA, CA US",37.592,,
12/1/04,"VISTA, CA US",74.422,,
1/1/05,"VISTA, CA US",189.738,,
2/1/05,"VISTA, CA US",178.562,,
3/1/05,"VISTA, CA US",28.956,,
4/1/05,"VISTA, CA US",20.32,,
10/1/05,"VISTA, CA US",22.606,,
11/1/05,"VISTA, CA US",1.016,,
12/1/05,"VISTA, CA US",6.096,,
1/1/06,"VISTA, CA US",26.162,,
3/1/06,"VISTA, CA US",62.738,,
4/1/06,"VISTA, CA US",44.45,,
10/1/06,"VISTA, CA US",12.7,,
11/1/06,"VISTA, CA US",0.762,,
12/1/06,"VISTA, CA US",19.05,,
1/1/07,"VISTA, CA US",47.244,,
2/1/07,"VISTA, CA US",62.738,,
3/1/07,"VISTA, CA US",5.842,,
4/1/07,"VISTA, CA US",17.526,,
10/1/07,"VISTA, CA US",0.762,,
11/1/07,"VISTA, CA US",52.07,,
12/1/07,"VISTA, CA US",65.024,,
1/1/08,"VISTA, CA US",98.552,,
2/1/08,"VISTA, CA US",57.15,,
3/1/08,"VISTA, CA US",2.54,,
4/1/08,"VISTA, CA US",0.254,,
